filepath,xmin,xmax,ymin,ymax
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\car-wbs-KL20K7561_00000.xml,168,324,162,205
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\car-wbs-KL43B2344_00000.xml,162,341,72,116
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\car-wbs-KL454455_00000.xml,126,263,7,56
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\car-wbs-KL53E964_00000.xml,258,484,389,462
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\car-wbs-KL54A2670_00000.xml,63,159,87,113
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\car-wbs-KL54H369_00000.xml,294,546,485,546
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\car-wbs-KL55R2473_00000.xml,137,334,157,205
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\car-wbs-KL60N5344_00000.xml,16,151,145,177
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\car-wbs-KL60N5344_00001.xml,178,313,235,267
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\car-wbs-KL65H4383_00000.xml,256,696,235,340
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\car-wbs-MH01AE8017_00000.xml,16,434,22,174
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\car-wbs-MH01AR5274_00000.xml,96,199,96,121
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\car-wbs-MH01AV8866_00000.xml,144,252,181,203
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\car-wbs-MH01BU5207_00000.xml,148,382,150,211
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\car-wbs-MH01DE2780_00000.xml,480,629,206,253
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\car-wbs-MH02BM5048_00000.xml,162,316,60,100
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\car-wbs-MH02CB4545_00000.xml,86,257,199,259
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\car-wbs-MH03AR5549_00000.xml,1298,4000,712,1612
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\car-wbs-MH03BS7778_00000.xml,136,389,103,170
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\car-wbs-MH03BS7778_00001.xml,300,554,313,383
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\car-wbs-MH03BS7778_00002.xml,255,472,421,466
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\car-wbs-MH03CB6467_00000.xml,82,230,237,270
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\car-wbs-MH04DW8351_00000.xml,129,277,177,213
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\car-wbs-MH06AW8929_00000.xml,28,161,174,231
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\car-wbs-MH06AW8929_00001.xml,192,364,131,179
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\car-wbs-MH12BG7237_00000.xml,54,208,77,112
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\car-wbs-MH12DE1433_00000.xml,157,286,139,185
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\car-wbs-MH12DE1433_00001.xml,168,905,128,314
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\car-wbs-MH12FU1014_00000.xml,88,192,184,214
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\car-wbs-MH12JC2813_00000.xml,136,343,157,205
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\car-wbs-MH12NE8922_00000.xml,49,176,124,161
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\car-wbs-MH14DT8831_00000.xml,30,345,30,109
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\car-wbs-MH14DX9937_00000.xml,226,322,168,205
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\car-wbs-MH14EH5819_00000.xml,298,403,195,226
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\car-wbs-MH14EH7958_00000.xml,229,409,331,373
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\car-wbs-MH14EH7958_00001.xml,78,248,74,112
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\car-wbs-MH14EP4660_00000.xml,103,221,174,204
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\car-wbs-MH14EU3498_00000.xml,63,276,94,146
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\car-wbs-MH15BD8877_00000.xml,97,201,181,209
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\car-wbs-MH20BN3525_00000.xml,112,286,199,239
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\car-wbs-MH20BN3525_00001.xml,163,364,238,284
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\car-wbs-MH20BQ20_00000.xml,144,322,113,162
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\car-wbs-MH20BY3665_00000.xml,185,323,115,147
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\car-wbs-MH20BY3665_00001.xml,43,179,14,43
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\car-wbs-MH20BY4465_00000.xml,62,138,130,154
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\car-wbs-MH20CS1938_00000.xml,115,176,135,155
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\car-wbs-MH20CS1941_00000.xml,111,226,183,209
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\car-wbs-MH20CS1941_00001.xml,214,425,124,167
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\car-wbs-MH20CS4946_00000.xml,167,276,175,198
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\car-wbs-MH20CS9817_00000.xml,68,252,85,128
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\car-wbs-MH20DJ0419_00000.xml,34,174,155,198
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\car-wbs-MH20DV2362_00000.xml,23,208,144,174
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\car-wbs-MH20EE045_00000.xml,170,305,115,148
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\car-wbs-MH20EE0943_00000.xml,104,231,279,312
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\car-wbs-MH20EE7597_00000.xml,523,1775,983,1280
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\car-wbs-MH20EE7598_00000.xml,127,279,160,208
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\car-wbs-MH20EE7598_00001.xml,59,212,237,274
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\car-wbs-MH20EJ0364_00000.xml,53,205,152,192
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\car-wbs-MH21V9926_00000.xml,101,223,357,386
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\car-wbs-MH43AF5037_00000.xml,196,320,177,218
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\car-wbs-MH43BU2401_00000.xml,585,756,191,239
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\car-wbs-MH46BV0688_00000.xml,347,655,386,450
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\car-wbs-MH46X9996_00000.xml,126,265,317,353
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\car-wbs-PB08CX2959_00000.xml,95,310,420,475
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\car-wbs-RJ02CC0784_00000.xml,70,166,262,284
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\car-wbs-TN07BU5427_00000.xml,18,202,230,275
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\car-wbs-TN07BU5427_00001.xml,123,373,518,578
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\car-wbs-TN07BV5200_00000.xml,66,238,360,406
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\car-wbs-TN09CH7770_00000.xml,120,235,19,54
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\car-wbs-TN19S4523_00000.xml,152,214,181,194
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\car-wbs-TN21AT0479_00000.xml,225,301,312,337
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\car-wbs-TN21AT0480_00000.xml,186,390,321,373
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\car-wbs-TN21AT0480_00001.xml,102,239,323,371
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\car-wbs-TN21AT0492_00000.xml,420,590,324,414
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\car-wbs-TN21AU1153_00000.xml,65,136,216,244
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\car-wbs-TN21BC6225_00000.xml,42,146,120,146
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\car-wbs-TN21BY0166_00000.xml,98,147,102,132
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\car-wbs-TN21BZ0768_00000.xml,117,190,204,229
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\car-wbs-TN21BZ0768_00001.xml,79,121,116,128
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\car-wbs-TN28BA9999_00000.xml,188,375,422,464
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\car-wbs-TN37CR4019_00000.xml,101,295,270,362
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\car-wbs-TN38BW1139_00000.xml,41,305,134,200
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\car-wbs-TN38BY4191_00000.xml,97,228,226,258
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\car-wbs-TN42R2697_00000.xml,7,526,79,187
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\car-wbs-TN45BA1065_00000.xml,94,194,85,109
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\car-wbs-TN52U1580_00000.xml,40,252,241,295
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\car-wbs-TN58AM1_00000.xml,170,372,390,441
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\car-wbs-TN59BE0939_00000.xml,209,325,463,487
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\car-wbs-TN66U8215_00000.xml,52,401,89,176
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\car-wbs-TN74AH1413_00000.xml,41,149,224,251
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\car-wbs-TN74AL5074_00000.xml,179,375,116,184
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\car-wbs-TN74F3339_00000.xml,231,310,187,212
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\car-wbs-TN99F2378_00000.xml,83,242,25,64
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\car-wbs-TS08ER1643_00000.xml,1,466,27,147
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\car-wbs-UP16CT2233_00000.xml,180,343,586,619
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\car-wbs-UP32FH2653_00000.xml,311,442,304,357
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\car-wbs-UP50AS4535_00000.xml,397,613,428,489
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\car-wbs-WB74X7605_00000.xml,84,165,122,160
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\car-ybs-MH43BP8173_00000.xml,181,329,351,399
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\car-ybs-MH46AD5258_00000.xml,203,341,160,199
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\car-ybs-MH46AD5258_00001.xml,155,302,154,195
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\car-ybs-MH46BF2342_00000.xml,184,411,115,176
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\car-ybs-MH47N4570_00000.xml,155,311,239,285
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\car-ybs-MH47N4570_00001.xml,229,477,326,398
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\car-ybs-MH47N4570_00002.xml,218,469,332,403
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\cars434.xml,296,413,312,339
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\cars435.xml,510,667,467,521
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\cars436.xml,311,367,346,358
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\cars437.xml,232,343,363,398
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\cars438.xml,130,182,140,153
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\cars439.xml,122,149,195,208
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\cbd81ff4-fc2a-4cd5-bed6-0fef4c456caa___226616d1495986750-zoomcar-review-mahindra-scorpio-s4-09-pamban.jpg.xml,807,1088,748,846
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\cc80e5c6-2cb7-40f7-a072-3f4cb5a56c65___Dileep_Car_Innova_1.jpg.xml,424,896,762,937
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\cd506968-8676-4df3-9150-d1c2e618f4c2___3e7fd381-0ae5-4421-8a70-279ee0ec1c61_nissan-note-india-testing_827x510_81508219864.xml,345,578,269,328
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\cf011553-f802-4b11-99ec-6e03d731b646___new_2014-VW-Polo-facelift-spied-India-rear.jpg.xml,197,375,320,357
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\d1115e64-987f-4a72-b9bb-853f67ca37b6___new_2014-Volkswagen-Polo-Review.jpg.xml,159,329,259,297
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\d16041c1-831d-4cc9-8869-68be8b6e12d7___slider-new-2.jpg.xml,809,1031,240,301
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\d3d2cbaa-f24a-4cb7-a236-53fa514816b4___new_2017-Skoda-Rapid-Diesel-DSG-Review-6.jpg.xml,244,378,114,149
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\d4bec046-caac-4e59-bd05-44de2232d83b___2017-Skoda-Octavia-Front.jpg.xml,215,345,148,192
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\d5ddd1e6-56ca-4991-994e-cb78fe836a47___3e7fd381-0ae5-4421-8a70-279ee0ec1c61_2013-Nissan-Terrano-Review.xml,451,592,343,391
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\d779f6f0-5731-48ed-bd43-836a3f7f2013___product-500x5000.xml,230,418,121,179
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\d88b7b9c-a4f4-4af6-af3d-b3017e114e0d___146292-maruti-suzuki-wagon-r-stingray-vxi-ownership-review-dsc_01691.jpg.xml,169,416,210,267
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\d9023f53-f90d-4b98-bd52-30796777ddcf___Maruti-Suzuki-Baleno-hatchback-56545.jpg.xml,224,307,156,182
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\db4f467d-2d9e-4567-ab68-fce4a8689562___maxresdefault7.jpg.xml,1023,1263,605,678
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\dc8bb609-7086-431b-9c8b-9520975dabd2___822716205_6_1080x720_maruti-suzuki-ciaz-make-year-2014-petrol-.jpg.xml,214,331,134,167
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\dd58e02d-51a5-4bfd-87af-ff51c576086e___2014-mahindra-scorpio-suv-10.jpg.xml,645,840,456,548
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\df2f7a76-d701-468f-b54a-c5d63d13b349___CM-Akhilesh-Number-Plate.jpg.xml,308,567,196,272
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\dfafd4ef-5592-41d9-9cbb-fa6a4e03831e___IMG_9082.jpg.xml,202,609,88,183
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\dfebb432-82cd-4154-b919-0d8be2c0d85a___5e4697c6f639f3f341b2feb170d72795af3fc998.jpg.xml,142,320,197,249
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\dfedf2ad-6596-48d4-a7f6-171e55c8f637___1160575d1383218860-high-security-registration-plates-hsrp-india-wp_20131030_16_01_22_pro.jpg.xml,682,935,378,581
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\e1d7921f-5e58-46c7-b4f9-9fd4585508f1___IMG_9072.jpg.xml,444,640,262,346
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\e204c50d-b861-4f68-827f-575351d150b4___Maruti-Baleno-RS-4.jpg.xml,24,143,208,247
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\e29b6eea-504a-4da2-8503-5bd3443f3bd8___maruti-suzuki-wagon-r-front-left-rim.jpg.xml,119,185,104,131
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\e354039f-d73c-4f12-9df5-f0129345fa79___scorpio.JPG.xml,152,252,194,218
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\e4907f73-1fbc-412c-a766-9c81bb31449c___2016-Chevrolet-TrailBlazer-India-Test-Drive-Review-e1442832290349.jpg.xml,62,175,299,334
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\e53076d3-c3b7-47b8-8c63-30a08b8ad983___40213__Maruti_Suzuki_Swift--016.JPG.xml,160,331,260,300
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\e54fb93b-020f-4c55-b4db-86e17ba9b9e0___2014-VW-Polo-facelift-rear-spotted-testing-in-Pune-India.jpg.xml,135,195,206,224
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\e663fa35-ce3c-401d-8451-30edd236b3e4___maxresdefault2.jpg.xml,374,753,266,442
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\e706cec0-783a-42bc-b934-64788481cd92___4-Innova-After-2.jpg.xml,175,323,177,212
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\e719f39b-e8dd-4fe0-9a41-71123932a486___226676869_4_1000x700_maruti-suzuki-wagon-r-duo-petrol-120000-kms-2007-year-cars_rev001.jpg.xml,134,277,215,253
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\e750b959-1b5a-41bf-bf64-d8099089e909___3e7fd381-0ae5-4421-8a70-279ee0ec1c61_Nissan-Terrano-Duster-launch-dare-pics-price-interiors-images-1.xml,301,563,354,433
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\e77e5db3-2bc6-4223-a258-2334256be65e___new_205356-maruti-swift-torque-blue-vdi-ddis-glistening-rockstar-enters-home-img_7531.jpg.xml,115,376,133,199
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\e7a86597-7251-4e9b-9469-cd873fe6736f___Honda-Jazz-Number-Plates-Designs.jpg.xml,180,432,127,252
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\e82fc408-a209-4221-9f6d-742b4b9d4c70___3e7fd381-0ae5-4421-8a70-279ee0ec1c61_848803268_2_1080x720_nissan-terrano-xl-d-plus-2014-diesel-upload-photos.xml,309,442,303,356
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\ec4bde57-11dd-4d59-96ae-b5d3b28afda5___Maruti-Suzuki-Celerio-Back-Number-Plates-Design.jpg.xml,110,418,190,261
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\ed6ee171-691a-4563-a79d-4f47d8ce9f85___Maruti-Suzuki-SCross-Exterior-80675.jpg.xml,124,400,270,331
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\ed9cd3b2-76a2-4cc8-9e4e-76d50ad1ff68___maruti-suzuki-wagon-r-hood-open-view.jpg.xml,122,226,265,290
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\ef2dc97f-bc6d-49a3-9ddb-03f54f3a20e7___Skoda-Rapid-new-Exterior-84398.jpg.xml,211,339,278,309
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\f16274c4-0d3d-4c85-9dcc-5ac71734b281___speedex-number-plates-nandanam-chennai-car-number-plate-dealers-1ofla74.jpg.xml,176,564,214,322
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\f20708c6-14cd-46ff-b8f1-6faef5fd8d2d___3e7fd381-0ae5-4421-8a70-279ee0ec1c61_Nissan-Terrano-20346.xml,153,412,230,296
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\f265077a-611f-4a18-abe5-46518b1756e6___1232700-take-look-number-plate-uploadfromtaptalk1398055489406.jpg.xml,357,495,375,432
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\f59d42f8-dc55-4b60-bb91-c2db3644f2ff___841309873_1_1080x720_mahindra-scorpio-vlx-airbags-bs-iii-2012-diesel-.jpg.xml,387,592,395,442
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\f5bbb8da-dddd-47ae-a46c-15492f9cf752___3e7fd381-0ae5-4421-8a70-279ee0ec1c61_10187746544_0c0822790e - Copy.xml,104,155,185,197
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\f5bbb8da-dddd-47ae-a46c-15492f9cf752___3e7fd381-0ae5-4421-8a70-279ee0ec1c61_10187746544_0c0822790e.xml,113,135,205,220
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\f685e6cf-3a12-42ac-94d7-28cdf129b266___maxresdefault1.jpg.xml,18,415,19,488
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\f7621229-eebc-4dff-aef8-e79fac571be4___Skoda-Octavia-5.jpg.xml,185,247,209,231
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\f7ba7a93-e8d7-4253-b327-d87e3f2bb747___3e7fd381-0ae5-4421-8a70-279ee0ec1c61_2013-Nissan-Terrano-Rear.xml,637,793,308,365
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\f8a992cc-a1cc-4d68-88c1-bec1a46fc148___Honda-City-Number-Plates-Design.jpg.xml,181,385,359,413
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\f94e9bcf-ec4a-418a-8685-14b71b82a039___3e7fd381-0ae5-4421-8a70-279ee0ec1c61_848126147_1_1080x720_nissan-terrano-xl-d-plus-2014-diesel-surat.xml,128,243,299,329
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\f9e27b82-9e65-44ba-bf9a-b3ced8901937___Skoda-Superb-Exterior-deadfront-69204.jpg.xml,202,389,191,225
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\fac9f4e6-c4b9-4872-86da-79d58ea2adc5___5273.jpg - Copy.xml,94,172,219,236
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\fac9f4e6-c4b9-4872-86da-79d58ea2adc5___5273.jpg.xml,137,211,152,173
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\fb939bb1-5257-4879-bafb-539472ffb73d___Maruti-Suzuki-Brezza-Number-Plates-Design.jpg.xml,187,336,214,253
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\fbb2b3ed-4db1-4d4c-8d4d-4b80b02bfd2a___3e7fd381-0ae5-4421-8a70-279ee0ec1c61_01640f5edbbfb564a9ab6486b31d1554_large.xml,98,148,106,119
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\fbc107b7-13d8-4a2d-b8be-7c96bd7d609c___new_9214a754343030395508e104d7948167_large.jpg.xml,107,280,347,387
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\fc1f58f0-2f54-4545-8915-2936d08dcce1___new_Skoda_Laura_DSG_Long_Term_Review-125.jpg.xml,179,352,235,274
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\fcabfaf7-160a-44bc-a543-9faee4c1c4cd___Honda-Jazz-Front-Number-Plates-Designs.jpg.xml,57,600,82,187
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\fd0140cc-e887-43b8-a439-24877ea77670___Maruti-Suzuki-Baleno-Number-Plates-Design.jpg.xml,150,370,131,189
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\fda5760a-c6ff-43a9-8ce7-61e808f109ea___3e7fd381-0ae5-4421-8a70-279ee0ec1c61_nissan_terrano_ii_nissan_terrano_ii_2_7_tdi_se_4x4_3330085523722771900.xml,468,547,287,349
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\fe3c95e4-7bd4-40f5-98a9-9fc635957d9c___3e7fd381-0ae5-4421-8a70-279ee0ec1c61_Baleno-Number-Plates-Design.xml,312,670,431,535
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\KL10.xml,58,130,201,230
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\KL11.xml,92,179,242,261
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\KL14.xml,154,223,224,261
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\KL15.xml,141,223,225,259
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\KL16.xml,95,179,222,242
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\KL19.xml,104,155,120,131
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\KL3.xml,39,87,216,243
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\KL4.xml,86,161,232,248
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\KL5.xml,100,162,158,171
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\KL6.xml,91,169,229,244
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\KL7.xml,113,162,134,146
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\KL8.xml,124,200,207,223
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\KL9.xml,104,181,188,201
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\video10_1060.xml,181,312,171,206
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\video10_1070.xml,197,357,262,301
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\video10_1080.xml,632,841,341,400
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\video10_110.xml,115,207,599,631
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\video10_120.xml,94,201,620,658
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\video10_1200.xml,698,1070,261,348
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\video10_1210.xml,571,948,316,415
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\video10_1220.xml,660,1039,508,599
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\video10_1230.xml,716,1101,672,769
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\video10_1240.xml,720,1104,564,656
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\video10_1250.xml,670,1058,674,773
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\video10_1260.xml,646,1036,594,694
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\video10_1270.xml,558,956,521,619
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\video10_1280.xml,377,782,515,618
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\video10_1290.xml,146,558,534,639
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\video10_130.xml,106,226,587,624
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\video10_1390.xml,798,994,571,614
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\video10_140.xml,188,325,302,344
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\video10_1420.xml,107,341,496,564
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\video10_150.xml,138,289,521,568
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\video10_160.xml,160,333,356,412
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\video10_170.xml,207,401,652,728
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\video10_1700.xml,471,1190,421,611
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\video10_1710.xml,37,934,197,427
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\video10_180.xml,151,386,787,886
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\video10_640.xml,184,286,178,210
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\video10_650.xml,286,394,159,194
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\video10_660.xml,228,341,164,201
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\video10_670.xml,272,390,175,218
